Date	Timestamp	LastPrice	Bid	BidQuantity	Ask	AskQuantity	Volume	TRS	MB	MBsmall	TRL	BuyPrice	BuyEntryOrderId	BuyEntryQuantity	BuyEntryTime	BuyExitOrderID	BuyExitQuantity	SellPrice	SellEntryOrderID	SellEntryQuantity	SellEntryTime	SellExitOrderID	SellExitQuantity	BuyPnl	SellPnl
2017-09-14	05:19	260.0	0.0	0	0.0	0	4176745	260.52	0	0	259.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017-09-14	09:15	260.5	260.5	118	260.95	20	1009	260.52	0	0	259.979	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	260.4	260.4	111	260.7	276	2060	260.52	0	0	259.979	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.0	261.0	1438	261.15	19	6606	260.478	0	0	260.478	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.25	260.9	277	261.2	25	9313	260.7275	0	0	260.7275	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.45	261.3	597	261.45	590	10048	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.45	261.2	414	261.45	575	10254	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.35	260.95	60	261.3	467	12063	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.35	261.05	276	261.35	160	12563	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.4	261.15	467	261.45	3493	12893	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.45	261.15	278	261.45	4977	18561	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	261.4	261.15	2	261.3	1777	18761	260.9271	0	0	260.9271	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:15	260.35	260.25	276	260.35	25	25629	260.8707	0	0	260.8707	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	259.8	260.15	979	260.3	25	28654	260.31960000000004	0	0	260.31960000000004	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	260.35	260.15	446	260.4	3179	28944	260.31960000000004	0	0	260.31960000000004	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.0	260.85	269	261.0	2795	29244	260.478	0	0	260.478	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.0	261.05	574	261.2	58	30346	260.478	0	0	260.478	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.05	261.1	25	261.2	58	30596	260.5279	0	0	260.5279	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.5	261.1	892	261.4	276	30714	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.2	261.2	189	261.35	276	30825	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.1	261.0	150	261.1	920	33034	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.4	261.25	726	261.5	94	34189	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.2	261.3	142	261.4	25	36189	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.45	261.2	641	261.4	369	36989	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:16	261.2	261.0	48	261.05	459	40351	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	260.85	260.65	4	260.75	191	41305	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	260.9	260.7	276	260.9	3081	41477	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	261.15	261.05	428	261.25	242	42694	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	261.2	261.0	12	261.1	80	42774	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	261.3	261.3	503	261.45	50	43472	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	261.0	260.95	227	261.1	29	46472	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	261.25	261.25	424	261.3	5	50121	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
2017-09-14	09:17	261.5	261.4	299	261.5	794	50226	260.977	0	0	260.977	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
